,Magnitude,Repute,Summary
Rs662799(A;G),2,Bad,1.4x higher early heart attack risk; less weight gain on high fat diets
Rs662799(G;G),2,Bad,2x higher early heart attack risk; less weight gain on high fat diets
Rs1801282(C;G),3,Bad,Unconfirmed higher risk of cardiovascular disease with high saturated fat diet
Rs55770810(T;T),6,Bad,carrier of two copies of BRCA1 variant; likely to be at higher risk for breast/ovarian cancer
Rs55770810(C;T),6,Bad,"Likely miscall in Ancestry data; otherwise, BRCA1 variant likely to be pathogenic for breast cancer"
Rs28897696(A;A),7,Bad,carrier of two copies of BRCA1 variant; likely to be at high risk for breast/ovarian cancer
Rs28897756(A;A),6,Bad,"BRCA2, breast cancer mutation"
Rs17602729(A;A),3,Bad,AMPD1 deficiency homozygous (orientation reversed)
Rs17602729(A;G),2.8,Bad,AMPD1 deficiency heterozygous (orientation reversed)
Rs2802288(A;A),2.4,Good,longer lifespan
Rs543749(G;G),2.1,Bad,"If a smoker, higher risk risk for COPD in smokers in a Hispanic population."
Rs763110(T;T),2,Good,~0.80x reduced cancer risk
Rs16847548(C;C),2.5,Bad,2.6x increased risk for sudden cardiac death in Caucasians
Rs6025(A;G),4.1,Bad,3.5-4.4x risk of thrombosis
Rs11591147(T;T),4.5,Good,2-3 fold lower risk of heart disease
Rs1051730(T;T),2.5,Bad,"1.8x increased risk of lung cancer; reduced response to alcohol, therefore possibly increased risk of alcohol abuse"
Rs1051730(C;T),2,Bad,1.3x increased risk of lung cancer
Rs1045642(T;T),3,Bad,altered drug metabolism and bioavailability; moderately increased risk for certain cancers
Rs6997709(G;G),2,Bad,1.5x higher risk for hypertension
Rs7961152(A;C),2,Bad,1.2x higher risk for hypertension
Rs2802292(G;G),2.5,Good,1.5x~2.7x more likely to live to 100.
Rs1154155(G;G),2.5,Bad,2.5x increased risk for narcolepsy
Rs1154155(G;T),1.5,Bad,1.94x increased risk for narcolepsy
Rs1265181(C;G),2,Bad,increased risk for psoriasis
Rs1799807(A;G),3.5,Bad,"Heterozygous for ""atypical"" BuChE"
Rs776746(A;A),0,Good,reference allele
Rs776746(G;G),2.5,Bad,CYP3A5*3 homozygote;  CYP3A5 non-expressor
Rs28365083(A;A),2.5,Bad,CYP3A5*2 homozygote; xpressor for CYP3A5
Rs56411402(C;C),2.5,Bad,CYP3A5*4 homozygote; xpressor for CYP3A5
Rs10264272(T;T),2.5,Bad,CYP3A5*6 homozygote; xpressor for CYP3A5
Rs41303343(T;T),2.5,Bad,"Miscall in 23andMe v4 data; otherwise, CYP3A5*7 homozygote; xpressor for CYP3A5"
Rs55817950(A;A),2.5,Bad,CYP3A5*8 homozygote; xpressor for CYP3A5
Rs28383479(A;A),2.5,Bad,CYP3A5*9 homozygote; xpressor for CYP3A5
Rs41279854(G;G),2.5,Bad,CYP3A5*10 homozygote; xpressor for CYP3A5
Rs72552791(G;G),2.5,Bad,CYP3A5*11 homozygote; xpressor for CYP3A5
Rs56244447(C;C),2.5,Bad,CYP3A5*3D homozygote; xpressor for CYP3A5
Rs28365085(C;C),2.5,Bad,CYP3A5*3F homozygote; xpressor for CYP3A5
Rs45593941(C;C),2.5,Bad,CYP3A5*3F homozygote; xpressor for CYP3A5
Rs41279857(T;T),2.5,Bad,CYP3A5*S100Y homozygote; xpressor for CYP3A5
Rs28383468(T;T),2.5,Bad,CYP3A5*H30Y homozygote; xpressor for CYP3A5
Rs28933668(T;T),5.5,Bad,Hemophilia A (severity varies)
Rs28933668(C;T),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28933669(C;T),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28933670(G;T),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28933671(A;G),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28933672(G;T),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28933674(A;G),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28933675(C;T),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28933676(A;C),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28933677(C;T),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28933681(A;G),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28933682(A;G),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28937272(A;G),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28937282(C;T),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28937285(A;G),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28937287(G;T),3.5,Bad,Carrier of a Hemophilia A mutation
Rs28937289(A;G),3.5,Bad,Carrier of a Hemophilia A mutation
Rs3135388(T;T),2,Bad,3-6x higher risk of multiple sclerosis
Rs3135388(C;T),1.8,Bad,3x higher risk of multiple sclerosis
Rs1800255(A;A),2.5,Bad,increased risk for pelvic organ prolapse
Rs72558189(A;A),2.5,Bad,CYP2C9*14 homozygote
Rs1385699(T;T),2,Bad,increased risk of baldness
Rs1385699(C;C),1.5,Good,slightly less likely to go bald
Rs1799945(C;C),0,Good,Not a H63D hemochromatosis carrier.
Rs1799945(G;G),4,Bad,"Two copies of H63D, likely affected by mild form of hemochromatosis"
Rs1799945(C;G),3,Bad,"One copy of H63D, carrier of hemochromatosis, likely unaffected unless also C282Y carrier."
Rs12255372(T;T),2.2,Bad,slight increases (~1.5x) in risk for type-2 diabetes and possibly breast cancer and aggressive prostate cancer
Rs4474514(A;A),1.8,Bad,>3x increased testicular cancer risk for men
Rs3782179(T;T),1.5,Bad,"common, but increased risk of testicular cancer"
Rs3782179(C;C),2.5,Good,9x lower odds of testicular cancer
Rs4324715(C;C),1.2,Bad,>1.5x increased testicular cancer risk for men
Rs6897876(C;C),1.2,Bad,slight increase in testicular cancer risk for men
Rs1333048(C;C),2.1,Bad,1.5x increased coronary artery disease risk; 2x increased periodontitis risk
Rs143383(T;T),1.8,Bad,1.3x increased risk for osteoarthritis
Rs143383(C;C),0,Good,normal risk for osteoarthritis
Rs143383(C;T),1.2,Bad,1.1x increased risk for osteoarthritis
Rs2200733(T;T),3,Bad,1.5x increased risk of Atrial Fibrillation and ischemic stroke.
Rs2200733(C;T),3,Bad,1.4x increased risk of Atrial Fibrillation and ischemic stroke.
Rs2231142(A;A),3.5,Bad,causes gout
Rs8177374(C;C),0,Bad,"very common, but it seems better to have the minor allele which is protective against several diseases"
Rs8177374(T;T),3.5,Good,resistance to several diseases
Rs11614913(C;C),2,Bad,Somewhat increased risk of various types of cancer
Rs2910164(C;C),2.5,Bad,higher cancer risk ? (ambiguous flip)
Rs6152(A;A),4,Good,won't go bald
I3003137(A;A),4,Bad,Sickle Cell Anemia
I3003137(A;T),3.5,Bad,Sickle Cell Anemia carrier; malaria resistance
Rs17580(A;T),2.3,Bad,Carrier of one PiS variant; slight chance of Alpha-1 Antitrypsin Deficiency
Rs28929474(A;G),3,Bad,Carrier for Alpha-1 Antitrypsin Deficiency
Rs332(TTT;TTT),0,Good,normal form
Rs15793179(A;A),6,Good,"normal, for chickens"
Rs15793179(C;C),6,Bad,deadly mutation for chickens
Rs5219(C;T),1.5,Bad,1.3x increased risk for type-2 diabetes
Rs2241880(C;T),1.5,Bad,1.4x increased risk for Crohn's disease in Caucasians
Rs13361189(C;C),2.6,Bad,2.6x increased risk for Crohn's disease
Rs13361189(C;T),1.3,Bad,1.3x increased risk for Crohn's disease
Rs4958847(A;A),2.6,Bad,2.6x increased risk for Crohn's disease
Rs4958847(A;G),1.3,Bad,1.3x increased risk for Crohn's disease
Rs4474514(A;G),1.8,Bad,3x increased testicular cancer risk for men
Rs3732378(A;A),2,Bad,more rapid progression to full-blown AIDS and probably increased susceptibility to HIV infection
Rs3928305(G;G),0,Good,Ancestral value
Rs16901979(A;C),2.9,Bad,1.5x increased risk for prostate cancer
Rs16901979(A;A),2.9,Bad,1.5x increased risk for prostate cancer
Rs6435862(G;T),1.5,Bad,1.7x higher risk of aggressive neuroblastoma
Rs6435862(G;G),2,Bad,2.8x higher risk of aggressive neuroblastoma
Rs2854128(A;A),1,Bad,"G2706A+, probably MT-Haplogroup H."
Rs13387042(A;A),1.25,Bad,1.24x increased risk for breast cancer
Rs13387042(A;G),1.1,Bad,1.12x increased risk for breast cancer
Rs5030737(T;T),1.6,Bad,mannose binding deficiency but of low clinical importance
Rs5743618(G;G),2,Good,greater resistance to leprosy; but also consequence for Lyme patients
Rs910873(A;A),4,Bad,3x increased risk of melanoma
Rs910873(A;G),3,Bad,1.7x increased risk of melanoma; increased risk of squamous cell carcinoma
Rs6277(T;T),2,Good,"normal schizophrenia risk, learns NoGo faster"
Rs201571(T;T),2,Bad,more likely to go bald
Rs2223841(A;A),1.2,Bad,more likely to go bald before age 40
Rs6625163(A;A),1.2,Bad,increased risk of baldness
Rs6036025(G;G),1.2,Bad,more likely to go bald
Rs1799852(T;T),2.5,Bad,lower serum transferrin levels
Rs1858830(C;C),2,Bad,2x risk of autism reported by some (but not other) publications
Rs2070744(T;T),2.1,Good,cardiovascular differences
Rs187238(G;G),2.5,Bad,hypertension increases risk 3.75x for sudden cardiac death
Rs10895068(A;A),1.5,Bad,2.5x increased odds of breast cancer among hormone-using postmenopausal women
Rs10895068(A;G),1.5,Bad,2.5x increased odds of breast cancer among hormone-using postmenopausal women
Rs1867277(A;A),2,Bad,2x increased risk for thyroid cancer
Rs1867277(A;G),1.5,Bad,1.5x increased risk for thyroid cancer
Rs1065852(C;T),2,Bad,Carrier of one CYP2D6 decreased or non-functioning variant.
Rs12777823(A;A),3.5,Bad,"Avoid Plavix, higher risk for adverse cardiovascular events. CYP2C19 poor metabolizer."
Rs12777823(A;G),2.5,Bad,"Avoid Plavix, higher risk for adverse cardiovascular events."
Rs3918290(A;A),3.5,Bad,"5-fluorouracil toxicity, dihydropyrimidine dehydrogenase deficiency"
Rs3918290(A;G),3,Bad,"some 5-fluorouracil toxicity, dihydropyrimidine dehydrogenase deficiency carrier"
Rs5888(C;T),2.5,Bad,3x higher risk for age-related macular degeneration
Rs1800462(C;G),2.5,Bad,detoxifying ability of certain drugs may be diminished
Rs1800460(A;G),3,Bad,(TPMT*3B) impaired drug metabolism
Rs1142345(A;G),3,Bad,TPMT*3C . impaired drug metabolism
Rs3764880(A;G),1.5,Bad,possible 1.2 - 1.8x increased tuberculosis susceptibility in females
Rs3764880(A;A),1.6,Bad,1.2 - 1.8x increased tuberculosis risk
Rs5743708(A;A),3,Bad,6x increased risk of tuberculosis
Rs1695(G;G),2.1,Bad,3.5x asthma risk in certain populations
Rs2280714(A;A),1.5,Bad,1.4x increased risk of SLE
Rs1047031(A;A),1.3,Bad,1.3x increased risk for periodontitis
Rs2981745(C;T),1.6,Bad,1.6x increased risk for breast cancer in females over 60
Rs2981745(T;T),1.6,Bad,>1.6x increased risk for breast cancer in females over 60
Rs11523871(A;C),1.6,Bad,1.6x increased breast cancer risk for women over 60
Rs11523871(C;C),1.6,Bad,>1.6x increased breast cancer risk for women over 60
Rs9306160(C;T),1.2,Good,0.75x (reduced) risk for metastasis in LN-/ER+ breast cancer patients
Rs9306160(T;T),1.3,Good,0.75x (reduced) risk for metastasis in LN-/ER+ breast cancer patients
Rs1434536(A;A),2,Bad,1.94x increased breast cancer risk
Rs1434536(A;G),1.3,Bad,1.29x increased breast cancer risk
Rs13181(G;G),2,Bad,>1.12x increased risk for cutaneous melanoma; possible increase in ovarian cancer risk
Rs793862(A;A),2,Bad,3-5x dyslexia risk
Rs53576(G;G),2.5,Good,Optimistic and empathetic; handle stress well
Rs1801133(T;T),2.8,Bad,"homozygous for C677T of MTHFR = 10-20% efficiency in processing folic acid = high homocysteine, low B12 and folate levels"
Rs1801133(C;T),2.2,Bad,1 copy of C677T allele of MTHFR = 65% efficiency in processing folic acid
Rs1801131(A;A),0,Good,most common genotype
Rs249954(T;T),1.2,Bad,Potentially increased risk of Breast Cancer
Rs3738414(A;A),1.6,Good,0.4x decreased risk of breast cancer
Rs10801935(C;C),1.6,Good,0.3x decreased risk of breast cancer
Rs1537415(C;G),1.6,Bad,1.6x increased risk for periodontitis
Rs1537415(G;G),2,Bad,2x increased risk for periodontitis
Rs7495174(A;A),0,Good,blue/gray eyes more likely
Rs10033464(G;G),1.9,Good,0.92x decreased risk of Atrial Fibrillation and cardioembolic stroke.
Rs10033464(G;T),3,Bad,1.28x increased risk of Atrial Fibrillation and cardioembolic stroke.
Rs10033464(T;T),3,Bad,1.4x increased risk of Atrial Fibrillation and cardioembolic stroke
Rs1004819(C;T),1,Bad,"1.5x risk of Crohn's disease, 1.2 for developing ankylosing spondylitis"
Rs10050860(T;T),1.7,Good,Half the risk (about 0.05%) of Ankylosing Spondylitis.
Rs10050860(C;T),1.4,Good,0.71x lower risk for Ankylosing Spondylitis.
Rs10086908(C;C),2,Bad,1.7x increased risk for prostate cancer
Rs10086908(C;T),2,Bad,1.7x increased risk for prostate cancer
Rs10090154(C;T),2,Bad,1.4x increased risk for prostate cancer
Rs10090154(T;T),2.1,Bad,1.4x increased risk for prostate cancer
Rs1010(A;G),1,Bad,1.75x risk of MI
Rs1010(G;G),1.75,Bad,1.75x risk of MI
Rs1012729(G;G),0,Good,altered pediatric blood pressure
Rs10134944(T;T),1.3,Bad,1.3x risk of bipolar disorder
Rs10134944(C;T),1.4,Bad,1.4x risk of bipolar disorder.
Rs1015362(A;G),2,Bad,2-4x higher risk of sun sensitivity if part of risk haplotype.
Rs1015362(G;G),2,Bad,2-4x higher risk of sun sensitivity if part of risk haplotype.
Rs10181656(C;G),1.7,Bad,1.7x increased SLE risk
Rs10181656(G;G),2,Bad,1.7x increased SLE risk
Rs10210302(T;T),1.8,Bad,1.8x increased risk for Crohn's disease
Rs10210302(C;T),1.2,Bad,1.2x increased risk for Crohn's disease
Rs10248420(G;G),1.1,Good,possibly more likely to remit on certain antidepressants
Rs10248420(A;A),1.1,Bad,possibly less likely to remit on certain antidepressants
Rs10250779(T;T),2,Bad,possible exercise-inducing cramping in African-Americans
Rs10260404(C;T),1.5,Bad,1.20x risk of developing ALS
Rs10260404(C;C),2,Bad,1.60x risk of developing ALS
Rs1026732(A;A),2,Good,<0.70x risk for restless legs
Rs1026732(A;G),1.5,Good,0.70x risk for restless legs
Rs1042173(T;T),0,Bad,"among alcoholics, likely to be heavier drinkers"
Rs1042522(C;G),2,Good,Slightly increased lifespan?
Rs1042838(G;T),2,Bad,1.28x risk for endometrial ovarian cancer; overlaps with rs608995
Rs1042838(T;T),3,Bad,1.42x risk for endometrial ovarian cancer; overlaps with rs608995
Rs1043994(A;A),0,Good,?
Rs10488631(C;C),3,Bad,2x increased risk of developing SLE; 3.2x increased risk of developing primary biliary cirrhosis; and 3.4x increased risk of developing Sjögren's syndrome
Rs10488631(C;T),2,Bad,2x increased risk of developing SLE; 1.6x increased risk of developing primary biliary cirrhosis; and 1.7x increased risk of developing Sjögren's syndrome
Rs10492519(G;G),2,Bad,Increased risk of developing prostate cancer
Rs10492519(A;G),1.5,Bad,Slightly increased risk of developing prostate cancer
Rs1049353(A;G),1,Good,less likely depressed in response to stress
Rs1049353(G;G),1,Good,Likely better response to antidepressants if male
Rs10495584(A;G),2,Good,Lowers men's blood pressure by -6.3/-3.8 mm Hg.
Rs2293347(G;G),1.1,Good,"among NSCLC patients, better Gefitinib response; common"
Rs10495584(G;G),2.5,Good,Lowers men's blood pressure by -6.3/-3.8 mm Hg.
Rs1050152(C;T),2,Bad,2.1x increased risk of Crohn's disease
Rs1050829(A;G),2.2,Bad,G6PD Type A/B; possibly benign though
Rs2075650(A;A),0,Good,normal; some association with greater longevity
Rs10513025(C;C),2.1,Good,>0.55x reduced risk for autism
Rs10513025(C;T),2,Good,0.55x reduced risk for autism
Rs10513025(T;T),0.1,Bad,normal risk of Autism
Rs1052133(C;G),2.1,Bad,normal for bladder cancer risk; 1.9x increased risk for gallbladder cancer
Rs1052133(G;G),2.2,Bad,2x increased bladder cancer risk; 4.5x increased risk for gallbladder cancer
Rs1056836(G;G),2,Good,0.3x decreased risk for prostate cancer
Rs1057909(G;G),4,Bad,CYP2C9_42612A>G homozygote
Rs1061646(C;C),0,Bad,1.16x increased risk for breast cancer
Rs1063192(C;C),1.5,Good,0.71x reduced risk of myocardial infarction
Rs1063192(C;T),1.5,Good,0.71x reduced risk of myocardial infarction
Rs1063192(T;T),1,Good,Normal risk of myocardial infarction
Rs10757272(C;C),1,Good,Normal risk for Coronary artery disease
Rs10757272(C;T),1.5,Bad,1.30x increased risk for Coronary artery disease
Rs10757272(T;T),2,Bad,1.54x increased risk for Coronary artery disease
Rs10757278(A;A),1.9,Good,0.78x reduced risk for Coronary Heart Disease. 0.77x reduced risk for Brain Aneurysm and Abdominal Aortic Aneurysm.
Rs10757278(A;G),2,Bad,1.3x risk for Heart Attack. Normal risk for Abdominal Aortic Aneurysm and Brain Aneurysm.
Rs10757278(G;G),2.5,Bad,1.6x risk for Heart Attack; 1.3x risk for Abdominal Aortic Aneurysm and Brain Aneurysm.
Rs10811661(C;T),2,Bad,1.2x increased risk for type-2 diabetes
Rs10830963(C;C),0,Good,normal risk of Type-2 Diabetes
Rs10830963(C;G),2.7,Bad,increased type-2 diabetes risk; higher gestational diabetes risk
Rs10830963(G;G),3.1,Bad,increased type-2 diabetes risk; higher gestational diabetes risk
Rs10871777(A;G),2,Bad,adults likely to be 0.22 BMI units higher
Rs10871777(G;G),2.1,Bad,adults likely to be 0.44 BMI units higher
Rs10883365(A;G),1.5,Bad,1.2x increased risk for developing Crohn's disease
Rs10883365(G;G),2,Bad,1.62x increased risk for developing Crohn's disease
Rs10889677(A;A),1.5,Bad,1.5x increased risk for certain autoimmune diseases
Rs10889677(A;C),2,Bad,1.5x increased risk for certain autoimmune diseases; 2x increased risk for Graves disease
Rs10889677(C;C),2,Bad,"Baseline (average) risk for certain autoimmune diseases; however, 2.3x increased risk for Graves disease"
Rs10892759(A;A),1.01,Good,reduced risk for Alzheimers?
Rs10897346(C;C),3,Bad,"If depressed, 2.6x more likely to not respond to antidepressants"
Rs10897346(C;T),3,Bad,"If depressed, 2.6x more likely to not respond to antidepressants"
Rs10980705(C;C),1,Good,Normal risk for knee osteoarthritis
Rs10980705(C;T),1.5,Bad,2.3x increased risk for knee osteoarthritis
Rs10980705(T;T),2,Bad,3.7x increased risk for knee osteoarthritis
Rs10984447(A;G),2,Bad,1.17x increased risk for multiple sclerosis
Rs10984447(G;G),1,Good,Normal risk for multiple sclerosis
Rs11045585(A;A),2,Good,24% chance (lower than average) of docetaxel-induced leukopenia/neutropenia
Rs11045585(A;G),2,Bad,63% chance (higher than average) of docetaxel-induced leukopenia/neutropenia
Rs11110912(C;G),0.1,Bad,Maybe some quite minor increase in high blood pressure risk; data not replicated though
Rs11110912(G;G),0.1,Bad,Maybe some quite minor increase in high blood pressure risk; data not replicated though
Rs11136000(C;T),1.5,Good,0.84x decreased risk for Alzheimer's disease
Rs11136000(T;T),1.5,Good,0.84x decreased risk for Alzheimer's disease
Rs11171739(C;C),2,Bad,1.75x risk of developing Type-1 diabetes
Rs11200638(A;G),2,Bad,~2x increased risk of age related macular degeneration
Rs11209026(A;G),2.5,Good,0.26x lower risk for certain autoimmune diseases.
Rs1121980(T;T),3,Bad,Moderate increase (2.76x) in risk for obesity
Rs1126742(T;T),0,Good,higher hypertension risk
Rs1126809(A;G),0,Good,slight increase in skin cancer risk
Rs1128503(T;T),0,Bad,likely to require more methadone during heroin withdrawal
Rs1128535(A;G),1.8,Good,0.77x risk for Crohn's disease
Rs1128535(G;G),2,Good,reduced risk (0.77x) for Crohn's disease
Rs1136287(C;T),1.8,Bad,1.5x increased risk of wet ARMD in a Taiwanese Chinese population
Rs1136410(C;C),2.4,Good,0.80x reduced risk for glioblastoma as well a 84% in CAD risk
Rs1136410(C;T),2,Good,0.80x reduced risk for glioblastoma
Rs1143674(A;A),1,Bad,1.3x increased autism risk
Rs1143674(A;G),1,Bad,1.3x increased autism risk
Rs1143674(G;G),0.1,Good,normal (risk of Autism)
Rs1143679(A;A),3,Bad,>1.78x increased risk for SLE
Rs1143679(A;G),2.4,Bad,1.78x increased risk for SLE
Rs11465804(G;G),1.5,Good,0.68x lower risk for spondylitis
Rs11465804(G;T),1.5,Good,0.68x lower risk for spondylitis
Rs11635424(A;A),2,Good,<0.70x risk for restless legs
Rs11635424(A;G),1.5,Good,0.70x risk for restless legs
Rs11650354(T;T),2,Bad,8x risk for allergic asthma
Rs1165205(A;A),1.5,Good,0.85x decreased gout risk
Rs1165205(A;T),1.4,Good,0.85x decreased gout risk
Rs11887534(C;C),3,Bad,7x increased risk for gallstones
Rs11887534(C;G),2.1,Bad,2x increased risk for gallstones
Rs12037606(A;A),2,Bad,1.52x risk of developing Crohn's disease
Rs12037606(G;G),1,Good,Normal risk of developing Crohn's disease
Rs12094543(A;A),0,Bad,>1.3x risk of type I diabetes
Rs1219648(G;G),2.1,Bad,1.64x risk for breast cancer
Rs1229984(A;G),2,Good,0.56x decreased risk of oral/throat cancers
Rs1234(A;A),2,Bad,summary of something bad
Rs1234(A;C),1.5,Good,heterozygote for something good
Rs12469063(A;G),1.5,Bad,Slightly increased risk of developing restless legs syndrome
Rs12469063(G;G),2,Bad,Increased risk of developing restless legs syndrome
Rs12593813(A;A),2,Good,<0.71x risk for restless legs
Rs12593813(A;G),1.5,Good,0.71x risk for restless legs
Rs12720461(T;T),2,Bad,"CYP1A2*1K_-729C>T homozygote, decreased CYP1A2 activity"
Rs12720461(C;T),2,Bad,"carrier of one CYP1A2*1K_-729C>T allele, decreased CYP1A2 activity"
Rs12979860(C;C),2,Good,~80% of such hepatitis C patients respond to treatment
Rs12979860(C;T),2.5,Bad,~20-40% of such hepatitis C patients respond to treatment
Rs12979860(T;T),3,Bad,~20-25% of such hepatitis C patients respond to treatment
Rs13149290(C;C),1.5,Bad,Slightly increased risk of developing prostate cancer
Rs13181(G;T),1.5,Bad,1.12x increased risk for cutaneous melanoma
Rs13207033(A;A),2,Good,reduced risk of rheumatoid arthritis
Rs13266634(C;T),2.5,Bad,increased risk for type-2 diabetes
Rs1329428(G;G),2.1,Bad,2x increased risk for macular degeneration
Rs1333048(A;C),2,Bad,1.3x increased coronary artery disease risk
Rs1360780(C;T),2,Bad,1.3x increased risk for depression
Rs1360780(T;T),2.1,Bad,1.3x increased risk for depression
Rs1375144(C;T),1.3,Bad,1.32x increased risk of developing bipolar disorder (one study)
Rs140701(A;A),1.5,Bad,Increased risk for anxiety disorders
Rs140701(A;G),1.5,Bad,Increased risk for anxiety disorders
Rs140701(G;G),1,Good,Normal risk for anxiety disorders
Rs1421085(C;C),3.1,Bad,~1.7x increased obesity risk
Rs1421085(C;T),2.5,Bad,~1.3x increased obesity risk
Rs1447295(A;A),1.7,Bad,1.7x increased risk of prostate cancer
Rs1447295(A;C),1.4,Bad,1.4x increased risk of prostate cancer
Rs144848(G;T),1.5,Bad,very slightly increased breast cancer risk
Rs1501299(A;C),2,Good,slightly lower risk of breast cancer
Rs1571801(A;A),1.5,Bad,>1.36x risk for prostate cancer
Rs1585215(A;G),2,Bad,2x increased risk for Hodgkin lymphoma
Rs1585215(G;G),2.1,Bad,3.5x increased risk for Hodgkin lymphoma
Rs1611115(T;T),0,Bad,somewhat more associated with impulsiveness and adult ADHD
Rs16847548(C;T),1.3,Bad,1.3x increased risk for sudden cardiac death in Caucasians
Rs16890979(C;C),0,Good,3.4x risk of gout
Rs16890979(T;T),2,Good,"lower systolic blood pressure, serum uric acid and gout risk"
Rs16947(A;A),0,Good,Homozygous for CYP2D6 variants (non-CYP2D6*1)
Rs16969968(A;G),2.5,Bad,"slightly higher risk for nicotine dependence, lower risk for cocaine dependence"
Rs17001266(-;-),2,Bad,1.58x increased risk for schizophrenia in males
Rs17001266(-;C),2,Bad,1.58x increased risk for schizophrenia in males
Rs17221417(G;G),2,Bad,1.9x higher risk for Crohn's disease
Rs17221417(C;G),1.5,Bad,1.3x higher risk for Crohn's disease
Rs17228212(C;T),2,Bad,1.26x increased risk for heart disease
Rs17244841(A;A),0,Good,more responsive to statin treatment
Rs17300539(A;A),1,Bad,higher adiponectin levels
Rs17300539(G;G),1,Bad,increased risk of insulin resistance
Rs1734791(A;A),2,Bad,1.4x increased risk for lupus
Rs1734791(A;T),2,Bad,1.4x increased risk for lupus
Rs17435(A;T),2,Bad,1.4x increased risk for lupus
Rs17435(T;T),2,Bad,1.4x increased risk for lupus
Rs174537(T;T),2,Good,lower LDL-C and total cholesterol
Rs17576(G;G),2,Bad,"higher risk for lung cancer, and COPD in smokers; normal risk for MI"
Rs17696736(G;G),2.5,Bad,1.94x risk of type-1 diabetes
Rs17782313(C;C),2.5,Bad,adults likely to be 0.44 BMI units higher
Rs1784931(C;C),1.01,Good,reduced risk for Alzheimers?
Rs1799724(C;T),2,Bad,"if ApoE4(-), 1.6x risk of AD; if (+), 6.6x risk"
Rs1799724(T;T),2,Bad,"if ApoE4(-), 1.6x risk of AD; if (+), 6.6x risk"
Rs1799732(-;-),2,Bad,less favorable clinical outcome when on antipsychotics
Rs1799732(-;C),2,Bad,1.3x increased adenoma recurrence risk
Rs1799750(G;G),1.5,Bad,"in breast cancer patients, slightly higher risk for poorer prognosis"
Rs1799782(C;C),0,Good,lower risk for skin cancer
Rs1799853(C;T),1.5,Bad,~20% reduction in warfarin metabolism; some NSAID risk
Rs1799884(A;A),3,Bad,2.7x increased risk for Type 2 Diabetes. Mothers have babies 54g heavier.
Rs1799884(A;G),2,Bad,1.3x increased risk for Type 2 Diabetes. Mothers have babies 27g heavier.
Rs1799950(A;G),1.5,Bad,very slightly increased breast cancer risk
Rs1799963(A;A),7,Bad,6.74x risk of thrombosis; 2-20x risk for cerebral stroke if PFO+
Rs1799963(A;G),2.8,Bad,2.8x risk of thrombosis; higher risk for cerebral stroke if PFO+
Rs1799963(G;G),0,Good,normal/common risk of thrombosis
Rs1799990(A;G),2.1,Good,"Resistance to vCJD (PrP 129 Met/Val heterozygote), 4.6x reduced risk of sporadic CJD and 0.87x reduced risk for late-onset Alzheimer in a Caucasian population"
Rs1800012(T;T),2,Good,"Complex; possibly lower risk of ACL ruptures, yet higher risk for bone loss and disc disease"
Rs1800587(C;T),1.8,Bad,Slightly higher risk for lumbar disc disease
Rs1800587(T;T),2.3,Bad,Increased waist circumference and a much greater risk of Intervertebral disc disease
Rs1800629(A;G),2,Bad,complex; generally higher risk for certain diseases
Rs1800860(A;A),0,Bad,10% smaller kidneys as newborns
Rs1800860(G;G),1,Good,Normal sized kidneys as newborns
Rs1800888(C;T),2,Bad,increased risk of coronary artery disease
Rs1800896(A;A),2,Bad,1.8x increased prostate cancer risk
Rs1800896(A;G),2,Bad,1.6x increased prostate cancer risk
Rs1800896(G;G),1,Good,Normal prostate cancer risk
Rs1800972(G;G),2,Good,reduced risk for Crohn's disease; reduced risk for maternal HIV transmission
Rs1801020(C;C),1,Good,Normal risk of developing heart disease
Rs1801020(C;T),1.5,Bad,1.31x increased risk of heart disease
Rs1801020(T;T),1.5,Bad,1.31x increased risk of heart disease
Rs1801274(C;T),1.5,Bad,complex; generally greater risk for cancer progression
Rs1801516(A;A),2,Bad,"2.76x odds of pancreatic cancer, but 0.86x reduced risk of melanoma"
Rs1805007(C;T),2.7,Bad,Carrier of a red hair associated variant; higher risk of melanoma
Rs1805008(C;T),2.5,Bad,"Red hair carrier, higher risk of melanoma"
Rs1805009(C;G),2.5,Bad,"Red hair carrier, higher risk of melanoma"
Rs182549(C;C),2,Bad,possibly lactose intolerant
Rs182549(C;T),1,Good,Can digest milk.
Rs182549(T;T),1,Good,Can digest milk.
Rs1858830(C;G),1.6,Bad,1.6x increased autism risk
Rs1859962(G;G),2.3,Bad,1.28x increased risk for prostate cancer
Rs187238(C;C),1.8,Good,hypertension not a risk factor for sudden cardiac death
